Question,Answers,T5-prediction,fine-tuned-T5-prediction,fine-tuned-prompt-generated_answer,t5-prompt-generated_answer,T5-prediction_ranking,fine-tuned-T5-prediction_ranking,t5-prompt-generated_answer_ranking,fine-tuned-prompt-generated_answer_ranking
Why was Bob a computer scientist?,Bob enjoyed the language processing that was part of the job.,Bob wanted to learn the language.,he was a computer scientist.,Bob was a computer scientist.,He enjoyed natural language processing.,4,2,3,1
Why did He enjoy natural language processing?,Bob had an innate talent for it.,He wanted to revolutionize the industry!,Bob was a computer scientist.,Bob was a computer scientist.,He decided to revolutionize the industry!,4,2,3,1
Why did He decide to revolutionize the industry?,Bob was an ambitious scientist.,He wanted to learn the language.,Bob was a computer scientist.,Bob was a computer scientist.,He enjoyed natural language processing.,4,2,3,1
Why was Bob a computer scientist?,Bob pursued computer science because he was interested in natural language processing.,Bob wanted to learn the language.,he was a computer scientist.,Bob was a computer scientist.,He enjoyed natural language processing.,N/A,1,4,2
Why did He enjoy natural language processing?,Bob enjoys natural language processing because he has some skill at it.,He wanted to revolutionize the industry!,Bob was a computer scientist.,Bob was a computer scientist.,He decided to revolutionize the industry!,4,2,3,1
Why did He decide to revolutionize the industry?,Bob wanted to be the best in his field of computer science.,He wanted to learn the language.,Bob was a computer scientist.,Bob was a computer scientist.,He enjoyed natural language processing.,4,2,3,1
Why was Bob a computer scientist?,he had fun with natural language processing.,Bob wanted to learn the language.,he was a computer scientist.,Bob was a computer scientist.,He enjoyed natural language processing.,4,3,1,2
Why did He enjoy natural language processing?,he was a computer scientist.,He wanted to revolutionize the industry!,Bob was a computer scientist.,Bob was a computer scientist.,He decided to revolutionize the industry!,4,2,3,1
Why did He decide to revolutionize the industry?,he enjoyed working with natural language processing.,He wanted to learn the language.,Bob was a computer scientist.,Bob was a computer scientist.,He enjoyed natural language processing.,4,3,1,2
Why did He formulate a machine?,Bob was a computer scientist and had expertise here.,He wanted to revolutionize the industry.,Bob wanted to revolutionize the industry.,Bob wanted to revolutionize the industry.,He wanted to revolutionize the industry.,N/A,2,4,1
Why did He win the nobel prize?,Bob created a new machine learning algorithm.,He wanted to learn the language.,he was a computer scientist.,Bob was a computer scientist.,He formulated a machine learning algorithm to process words.,4,2,3,1
Why did He formulate a machine?,Bob wanted to totally transform computers to understand human language.,He wanted to revolutionize the industry.,Bob wanted to revolutionize the industry.,Bob wanted to revolutionize the industry.,He wanted to revolutionize the industry.,N/A,2,4,1
Why did He win the nobel prize?,Bob created computer calculations to analyze speech and writing.,He wanted to learn the language.,he was a computer scientist.,Bob was a computer scientist.,He formulated a machine learning algorithm to process words.,4,2,3,1
Why did He formulate a machine?,Bob wanted to make a significant innovation in his field.,He wanted to revolutionize the industry.,Bob wanted to revolutionize the industry.,Bob wanted to revolutionize the industry.,He wanted to revolutionize the industry.,N/A,2,4,1
Why did He win the nobel prize?,Bob's algorithm changed how computing was done all around the world.,He wanted to learn the language.,he was a computer scientist.,Bob was a computer scientist.,He formulated a machine learning algorithm to process words.,N/A,1,4,2
Why did Jay take a trip?,Jay was visiting his old college friends.,Jay wanted to go to the college.,he wanted to go to college.,Jay was going to college.,Jay took a trip to his old college.,4,2,3,1
Why is Jay an alumni?,Jay had gone to the college.,Jay was a student.,he was a student.,Jay is an alumni.,Jay is an alumni.,4,3,2,1
Why did He visit his friends?,Jay loved hanging out with his friends.,Jay was an alumni.,Jay was an alumni.,Jay was an alumni.,He went and got drunk.,4,3,1,2
Why did Jay take a trip?,"he missed the old college life, it was a nostalgic feeling.",Jay wanted to go to the college.,he wanted to go to college.,Jay was going to college.,Jay took a trip to his old college.,4,2,3,1
Why is Jay an alumni?,he graduated from a college.,Jay was a student.,he was a student.,Jay is an alumni.,Jay is an alumni.,4,3,2,1
Why did He visit his friends?,he apparently missed the friends from the school.,Jay was an alumni.,Jay was an alumni.,Jay was an alumni.,He went and got drunk.,3,2,4,1
Why did Jay take a trip?,he was headed to his old college.,Jay wanted to go to the college.,he wanted to go to college.,Jay was going to college.,Jay took a trip to his old college.,4,3,1,2
Why is Jay an alumni?,he is at his old college.,Jay was a student.,he was a student.,Jay is an alumni.,Jay is an alumni.,4,3,1,2
Why did He visit his friends?,Jay was at his old college.,Jay was an alumni.,Jay was an alumni.,Jay was an alumni.,He went and got drunk.,4,3,1,2
Why did He go ?,Jay wanted to visit his friends.,He went to his old college.,Jay was going to college.,Jay wanted to get drunk.,He went to college.,1,2,3,4
Why had He a good time?,Jay and his friends got drunk together.,He was a good student.,Jay was a good student.,Jay was drunk.,He went and got drunk.,4,3,2,1
Why did He go ?,he wanted to see his college again.,He went to his old college.,Jay was going to college.,Jay wanted to get drunk.,He went to college.,1,2,3,4
